,date,demand_mwh
0,2023-01-02,143135
1,2023-01-03,155112
2,2023-01-04,154784
3,2023-01-05,156611
4,2023-01-06,158140
5,2023-01-07,150670
6,2023-01-08,148094
7,2023-01-09,160469
8,2023-01-10,161243
9,2023-01-11,158049
10,2023-01-12,159202
11,2023-01-13,159525
12,2023-01-14,150997
13,2023-01-15,147651
14,2023-01-16,159450
15,2023-01-17,158237
16,2023-01-18,158142
17,2023-01-19,155574
18,2023-01-20,151170
19,2023-01-21,141852
20,2023-01-22,135867
21,2023-01-23,135319
22,2023-01-24,135278
23,2023-01-25,143281
24,2023-01-26,145489
25,2023-01-27,149823
26,2023-01-28,141778
27,2023-01-29,136799
28,2023-01-30,149444
29,2023-01-31,150147
30,2023-02-01,151421
31,2023-02-02,153712
32,2023-02-03,153444
33,2023-02-04,143643
34,2023-02-05,139736
35,2023-02-06,150601
36,2023-02-07,153830
37,2023-02-08,155885
38,2023-02-09,156193
39,2023-02-10,156738
40,2023-02-11,148334
41,2023-02-12,141473
42,2023-02-13,152525
43,2023-02-14,154631
44,2023-02-15,152251
45,2023-02-16,151542
46,2023-02-17,152577
47,2023-02-18,146076
48,2023-02-19,142760
49,2023-02-20,153228
50,2023-02-21,154525
51,2023-02-22,155322
52,2023-02-23,155309
53,2023-02-24,155318
54,2023-02-25,147116
55,2023-02-26,142803
56,2023-02-27,154986
57,2023-02-28,152742
58,2023-03-01,147921
59,2023-03-02,149573
60,2023-03-03,149183
61,2023-03-04,140165
62,2023-03-05,136493
63,2023-03-06,148565
64,2023-03-07,150236
65,2023-03-08,151740
66,2023-03-09,153641
67,2023-03-10,155188
68,2023-03-11,146805
69,2023-03-12,143063
70,2023-03-13,153753
71,2023-03-14,154083
72,2023-03-15,154110
73,2023-03-16,155728
74,2023-03-17,156733
75,2023-03-18,149750
76,2023-03-19,146591
77,2023-03-20,159026
78,2023-03-21,157873
79,2023-03-22,160350
80,2023-03-23,161922
81,2023-03-24,160865
82,2023-03-25,149582
83,2023-03-26,146060
84,2023-03-27,154802
85,2023-03-28,160092
86,2023-03-29,160673
87,2023-03-30,160142
88,2023-03-31,158822
89,2023-04-01,150619
90,2023-04-02,146965
91,2023-04-03,155478
92,2023-04-04,158798
93,2023-04-05,159019
94,2023-04-06,158805
95,2023-04-07,147500
96,2023-04-08,148347
97,2023-04-09,146566
98,2023-04-10,158423
99,2023-04-11,160293
100,2023-04-12,162986
101,2023-04-13,163509
102,2023-04-14,164285
103,2023-04-15,156872
104,2023-04-16,150966
105,2023-04-17,164077
106,2023-04-18,167315
107,2023-04-19,166916
108,2023-04-20,163756
109,2023-04-21,162281
110,2023-04-22,153332
111,2023-04-23,153462
112,2023-04-24,164912
113,2023-04-25,164985
114,2023-04-26,166013
115,2023-04-27,166943
116,2023-04-28,163822
117,2023-04-29,153980
118,2023-04-30,148595
119,2023-05-01,150481
120,2023-05-02,165095
121,2023-05-03,165559
122,2023-05-04,163971
123,2023-05-05,163763
124,2023-05-06,155573
125,2023-05-07,150425
126,2023-05-08,164310
127,2023-05-09,164787
128,2023-05-10,169410
129,2023-05-11,171658
130,2023-05-12,170463
131,2023-05-13,161692
132,2023-05-14,157427
133,2023-05-15,168000
134,2023-05-16,162792
135,2023-05-17,164417
136,2023-05-18,165054
137,2023-05-19,165394
138,2023-05-20,157442
139,2023-05-21,149275
140,2023-05-22,164186
141,2023-05-23,164985
142,2023-05-24,167463
143,2023-05-25,170178
144,2023-05-26,165611
145,2023-05-27,155735
146,2023-05-28,151601
147,2023-05-29,165068
148,2023-05-30,168041
149,2023-05-31,169199
150,2023-06-01,162815
151,2023-06-02,151429
152,2023-06-03,155660
153,2023-06-04,148740
154,2023-06-05,159347
155,2023-06-06,161423
156,2023-06-07,162941
157,2023-06-08,165035
158,2023-06-09,165422
159,2023-06-10,158521
160,2023-06-11,154558
161,2023-06-12,163377
162,2023-06-13,164538
163,2023-06-14,164060
164,2023-06-15,163932
165,2023-06-16,165730
166,2023-06-17,158975
167,2023-06-18,151407
168,2023-06-19,164066
169,2023-06-20,167604
170,2023-06-21,169336
171,2023-06-22,169431
172,2023-06-23,168288
173,2023-06-24,156737
174,2023-06-25,151904
175,2023-06-26,163458
176,2023-06-27,163937
177,2023-06-28,162919
178,2023-06-29,153616
179,2023-06-30,162302
180,2023-07-01,151875
181,2023-07-02,150197
182,2023-07-03,164458
183,2023-07-04,165907
184,2023-07-05,165912
185,2023-07-06,162009
186,2023-07-07,162099
187,2023-07-08,155198
188,2023-07-09,150937
189,2023-07-10,160991
190,2023-07-11,158453
191,2023-07-12,159787
192,2023-07-13,162274
193,2023-07-14,158682
194,2023-07-15,149936
195,2023-07-16,148455
196,2023-07-17,161458
197,2023-07-18,160102
198,2023-07-19,158995
199,2023-07-20,157624
200,2023-07-21,159831
201,2023-07-22,153633
202,2023-07-23,149222
203,2023-07-24,160862
204,2023-07-25,164693
205,2023-07-26,167265
206,2023-07-27,166620
207,2023-07-28,165758
208,2023-07-29,155715
209,2023-07-30,150031
210,2023-07-31,162075
211,2023-08-01,165008
212,2023-08-02,167649
213,2023-08-03,162091
214,2023-08-04,162464
215,2023-08-05,155925
216,2023-08-06,151364
217,2023-08-07,166019
218,2023-08-08,164342
219,2023-08-09,152959
220,2023-08-10,163890
221,2023-08-11,163692
222,2023-08-12,155089
223,2023-08-13,150690
224,2023-08-14,160431
225,2023-08-15,160005
226,2023-08-16,161216
227,2023-08-17,161953
228,2023-08-18,158653
229,2023-08-19,149683
230,2023-08-20,147495
231,2023-08-21,157730
232,2023-08-22,160725
233,2023-08-23,163373
234,2023-08-24,164910
235,2023-08-25,163452
236,2023-08-26,153456
237,2023-08-27,149357
238,2023-08-28,163169
239,2023-08-29,162791
240,2023-08-30,161666
241,2023-08-31,162062
242,2023-09-01,151344
243,2023-09-02,152635
244,2023-09-03,150610
245,2023-09-04,163311
246,2023-09-05,164681
247,2023-09-06,162378
248,2023-09-07,160202
249,2023-09-08,163521
250,2023-09-09,153687
251,2023-09-10,147569
252,2023-09-11,159887
253,2023-09-12,163864
254,2023-09-13,166514
255,2023-09-14,166853
256,2023-09-15,166268
257,2023-09-16,157641
258,2023-09-17,152869
259,2023-09-18,164748
260,2023-09-19,166128
261,2023-09-20,163706
262,2023-09-21,162202
263,2023-09-22,160788
264,2023-09-23,152758
265,2023-09-24,147234
266,2023-09-25,159890
267,2023-09-26,163408
268,2023-09-27,164731
269,2023-09-28,165334
270,2023-09-29,164603
271,2023-09-30,152985
272,2023-10-01,148592
273,2023-10-02,164031
274,2023-10-03,162881
275,2023-10-04,163730
276,2023-10-05,166472
277,2023-10-06,167691
278,2023-10-07,160142
279,2023-10-08,155427
280,2023-10-09,167038
281,2023-10-10,167152
282,2023-10-11,166817
283,2023-10-12,168132
284,2023-10-13,168115
285,2023-10-14,159208
286,2023-10-15,155070
287,2023-10-16,167352
288,2023-10-17,168272
289,2023-10-18,165250
290,2023-10-19,163674
291,2023-10-20,163138
292,2023-10-21,153429
293,2023-10-22,149039
294,2023-10-23,161003
295,2023-10-24,162101
296,2023-10-25,161060
297,2023-10-26,163539
298,2023-10-27,165245
